CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4151751,10/27/2014 09:37:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of CHESTNUT ST and PIERCE ST,2,Marina,"(37.8004033146811, -122.439504274219)",Voice In,
4120108,10/17/2014 08:50:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of MARKET ST and 12TH ST,6,South of Market,"(37.7743587176825, -122.420254282725)",Voice In,
4120064,10/17/2014 07:59:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of DIVISADERO ST and GROVE ST,5,Panhandle,"(37.7759254063755, -122.437989844714)",Open311,
4117340,10/17/2014 05:44:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,Intersection of GOLDEN GATE AVE and ROSELYN TER,1,Lone Mountain,"(37.7773186105821, -122.449570754164)",Voice In,
4117162,10/16/2014 09:43:00 PM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,Intersection of BROTHERHOOD WAY and LAKE MERCED BLVD,7,Parkmerced,"(37.7146944670787, -122.485229080439)",Voice In,
4112063,10/15/2014 03:28:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"30 LOIS LN, SAN FRANCISCO, CA, 94134",10,Little Hollywood,"(37.713565296615, -122.399017349753)",Voice In,
4110625,10/15/2014 11:05:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"940 WASHINGTON ST, SAN FRANCISCO, CA, 94108",3,Chinatown,"(37.794948179296, -122.408723462738)",Voice In,
4109378,10/14/2014 11:27:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of CROSSOVER DR and TRANSVERSE DR,1,Golden Gate Park,"(37.7718880398033, -122.481785230758)",Web Self Service,
4105349,10/14/2014 08:22:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,"3220 TARAVAL ST, SAN FRANCISCO, CA, 94116",4,Outer Sunset,"(37.742002825025, -122.500573985486)",Voice In,
4102302,10/13/2014 08:49:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"2428 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",9,Portola,"(37.731708556074, -122.405418458427)",Voice In,
